שנת לימודים,שם מחוז,שם רשות,סמל מוסד,שם מוסד,חמשון טיפוח,סטטוס מוסד,סוג חינוך מוסד,שלבי חינוך במוסד,מגזר,סוג פיקוח,מעמד משפטי, שעות הוראה,עלות  שעות הוראה,שעות פרטניות, שעות שהיה,שעות הדרכה,עלות תיקצוב שעות הדרכה,שעות איחוד משכורת , עלות תיקצוב שעות איחוד משכורת ,"שעות בודדות -חנ""מ - חופשות","עלות שעות בודדות -חנ""מ - חופשות","שכ""ל",גני ילדים,שירותי היקף,תקציב הסעות ,פרויקטים והעברות לרשויות מקומיות ובעלויות,שעות רשת חינוך עצמאי ומעיין חינוך תורני , עלות שעות רשת חינוך עצמאי ומעיין חינוך תורני ,שעות מוסדות פטור,עלות שעות מוסדות פטור,שירותי עזר - מוסדות פטור,מספר תלמידים בפועל חינוך רגיל,מספר תלמידים בפועל חינוך מיוחד, מס' כיתות  חינוך רגיל, מס' כיתות  חינוך מיוחד,"סה""כ תקציב שכר ותשלומים",הערות
תשעו,דרום,שגב שלום,618405,אלקאדיסיה,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,958,"7,436,427",154,146,0,0,0,0,0,0,0,0,"783,197",0,"570,496",0,0,0,0,0,410,38,17.0,3.0,"8,790,119", 
תשעו,דרום,שגב שלום,618496,אלמסתקבל,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,"1,284","10,151,208",222,217,0,0,0,0,"1,045","146,739",0,0,"1,250,425",0,"1,136,660",0,0,0,0,0,613,29,22.0,4.0,"12,685,032", 
תשעו,דרום,שגב שלום,618660,יסודי חדש,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,952,"7,533,282",164,142,0,0,0,0,"1,117","156,849",0,0,"982,813",0,"491,629",0,0,0,0,0,431,26,16.0,4.0,"9,164,573", 
תשעו,דרום,שגב שלום,648063,מקיף שגב,חלש,פעיל,רגיל,"חט""ב ועליונה",בדואי,ממלכתי,רשמי,"1,229","10,998,926",198,409,0,0,199,"1,317,137","1,250","175,525","13,033,098",0,"1,708,109",0,"1,767,109",0,0,0,0,0,"1,284",75,44.0,8.0,"28,999,904", 
תשעו,דרום,שגב שלום,648303,מקיף אלסאלם,חלש,פעיל,רגיל,"חט""ב ועליונה",בדואי,ממלכתי,רשמי,639,"5,593,336",86,178,0,0,17,"112,188",150,"21,063","6,265,940",0,"882,952",0,"982,802",0,0,0,0,0,803,0,28.0,0.0,"13,858,281", 
תשעו,דרום,רמת נגב,610808,משאבים,חלש - בינוני,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי,רשמי,748,"5,763,464",120,120,0,0,0,0,0,0,0,0,"409,118",0,"111,184",0,0,0,0,0,502,0,16.0,0.0,"6,283,765", 
תשעו,דרום,רמת נגב,611715,צין,בינוני - חזק,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי,רשמי,559,"4,341,337",97,90,0,0,0,0,0,0,0,0,"285,120",0,"39,948",0,0,0,0,0,333,0,13.0,0.0,"4,666,406", 
תשעו,דרום,רמת נגב,611855,נגב סיני, ,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי דתי,רשמי,260,"1,979,375",40,34,0,0,0,0,0,0,0,0,"178,734",0,"17,579",0,0,0,0,0,136,0,6.0,0.0,"2,175,689", 
תשעו,דרום,רמת נגב,718189,נווה מדבר ניצנה, ,פעיל,רגיל,עליונה בלבד,בדואי,ממלכתי,מוכר,0,0,0,0,0,0,0,0,0,0,"830,152",0,0,0,"8,532",0,0,0,0,0,28,0,1.0,0.0,"838,684", 
תשעו,דרום,רמת נגב,770941,תיכון לחינוך סביבתי,בינוני - חזק,פעיל,רגיל,עליונה בלבד,יהודי,ממלכתי,מוכר,0,0,0,0,0,0,0,0,0,0,"8,726,847",0,"1,507",0,"451,053",0,0,0,0,0,341,0,13.0,0.0,"9,179,406", 
